job0	1	1	2267942	0	1937944	inputPath1		
job1	2	1	20791551476	12295202125	1491950225	inputPath2		
job2	2	0	90015105	110986156	2783997	inputPath3		
job3	2	0	945	0	2668	inputPath4		
job4	2	0	4654241	0	3938427	inputPath5		
job5	2	0	87734611	102012497	663299	inputPath2		
job6	4	2	497248039	0	739577331	inputPath6		
job7	17	13	2859	3247	1812	inputPath7		
job8	18	1	27450	0	1949	inputPath8		
job9	21	3	17858356	0	241832747	inputPath9		
job10	23	2	83586669	0	3764004	inputPath10		
job11	59	36	115823	0	1446866	inputPath11		
job12	62	3	15403	7306	60691	inputPath12		
job13	70	8	178051723625	120538786	2594177	inputPath13		
job14	77	7	28947009378	6996	245	inputPath14		
job15	79	2	2235844705	0	3967774841	inputPath15		
job16	81	2	49628	270017	62274	inputPath16		
job17	84	3	2003	0	16330	inputPath17		
job18	106	22	178051779577	846887385	19833905	inputPath12		
job19	116	10	826021202	717502697	78621241	inputPath18		
job20	120	4	782110652	108	162795085	inputPath19		
job21	120	0	782110652	108	203535960	inputPath18		
job22	120	0	782110652	108	192816448	inputPath18		
job23	120	0	782110652	108	188288957	inputPath18		
job24	120	0	782110652	60093020	12591280	inputPath18		
job25	120	0	782110652	108	217028539	inputPath18		
job26	122	2	128	0	11548801	inputPath20		
job27	122	0	205911534212	278812093573	157726	inputPath21		
job28	123	1	1	29	0	inputPath22		
job29	132	9	22472	3477	410	inputPath23		
job30	140	8	178052491343	143046233	1621758	inputPath12		
job31	142	2	178051358658	15717413	342613	inputPath12		
job32	142	0	178052085553	178909527	2090702	inputPath12		
job33	147	5	4233153	33	244	inputPath24		
job34	151	4	701615795762	10548822795	1051450483	inputPath25		
job35	170	19	11548801	0	4846986	inputPath26		
job36	171	1	141	0	25913915	inputPath27		
job37	174	3	29317298062	32325490309	21243	inputPath28		
job38	179	5	116514872714	62737990420	223432028	inputPath29		
job39	180	1	28947009378	7241	247	inputPath13		
job40	189	9	376886587	0	509765479	inputPath30		
job41	197	8	7688291238	0	315825	inputPath31		
job42	200	3	25913915	0	12204589	inputPath32		
job43	203	3	14430382666	38936897288	4541108444	inputPath33		
job44	209	6	40832267	71736834	18533	inputPath34		
job45	215	6	752334	0	0	inputPath35		
job46	216	1	8631795	0	8396707	inputPath36		
job47	219	3	3315	639	29259469252	inputPath37		
job48	220	1	1	49	0	inputPath21		
job49	232	12	2104913694	11112709	2274328	inputPath38		
job50	234	2	14740276259	12670333142	4514476	inputPath39		
job51	237	3	95064243	66899	181	inputPath40		
job52	238	1	64864452894	25981586510	2783555966	inputPath41		
job53	239	1	28947009378	7029	245	inputPath13		
job54	239	0	53500596737	62813275869	99934555	inputPath42		
job55	242	3	6420	0	0	inputPath34		
job56	243	1	186892861170	0	2945120	inputPath43		
job57	248	5	525980	0	27566	inputPath44		
job58	252	4	885120	0	48408	inputPath45		
job59	260	8	20823087067	66095728974	5921960050	inputPath46		
job60	268	8	2622940773169	576600	281	inputPath47		
job61	270	2	166440989	0	6814708	inputPath9		
job62	276	6	6569760463	0	710207	inputPath48		
job63	278	2	20807036052	49754149516	832006385	inputPath49		
job64	280	2	18801	23482	14644	inputPath50		
job65	280	0	100188	1112	57	inputPath51		
job66	284	4	80847393080	113738945812	3060667452	inputPath52		
job67	289	5	544	37	253	inputPath53		
job68	298	9	157020	24018	471	inputPath54		
job69	306	8	818817165	0	14665667	inputPath55		
job70	310	4	314607	0	32242	inputPath56		
job71	324	14	15916135571	0	56419050	inputPath57		
job72	329	5	10819567082	7009967977	341322351	inputPath58		
job73	334	5	207017723872	296673338996	143891480800	inputPath59		
job74	339	5	9844603196	1952522994	867198357	inputPath60		
job75	343	4	323477468	0	504559841	inputPath61		
job76	347	4	14836	0	85113	inputPath62		
job77	363	16	1	49	0	inputPath21		
job78	375	12	55575168	0	56403782	inputPath63		
job79	375	0	224647594	0	224674076	inputPath64		
job80	386	11	4233153	37	244	inputPath23		
job81	399	13	123	0	29149255	inputPath65		
job82	399	0	6268769	0	14664550	inputPath66		
job83	413	14	2586300	4939365	1150677	inputPath67		
job84	414	1	186892861170	0	3125713	inputPath42		
job85	429	15	19775622	28520479	6525005	inputPath68		
job86	434	5	29149255	0	7253990	inputPath69		
job87	443	9	12669048	11707207	4769967	inputPath70		
job88	449	6	15916135571	798752	19142	inputPath56		
job89	461	12	1	49	0	inputPath21		
job90	489	28	6569776961	0	302671	inputPath47		
job91	495	6	6569776961	0	1506608	inputPath47		
job92	500	5	122	0	491445	inputPath71		
job93	504	4	1838610131267	0	8386033811	inputPath72		
job94	516	12	116486125855	62652292136	44960160	inputPath73		
job95	536	20	136	0	48163637	inputPath74		
job96	537	1	491445	0	492991	inputPath75		
job97	539	2	28947009378	59365418	245	inputPath13		
job98	553	14	1034248	0	43370	inputPath7		
job99	553	0	3496	1279	31675388603	inputPath76		
job100	554	1	592404	0	30927	inputPath43		
job101	559	5	46999071	0	2004684	inputPath44		
job102	573	14	520869918	0	521070556	inputPath77		
job103	575	2	1982843445	1858774949	10610	inputPath78		
job104	575	0	1084632994	759786684	197892	inputPath79		
job105	576	1	1986594146	2032396185	247372	inputPath77		
job106	576	0	1034833783	549423431	8667	inputPath78		
job107	576	0	4338518467	3694257573	319999	inputPath80		
job108	577	1	4338518467	3302030112	12778	inputPath79		
job109	577	0	48163637	0	14529391	inputPath81		
job110	578	1	4338518467	3015206370	4291	inputPath79		
job111	578	0	772843817	42833363	3940	inputPath82		
job112	578	0	4338518467	2427960203	1360	inputPath79		
job113	579	1	1034833783	411995979	408	inputPath78		
job114	580	1	1981883601	1680972951	680	inputPath77		
job115	580	0	188491999	0	7583452	inputPath9		
job116	584	4	1982527414	1680715103	4328	inputPath77		
job117	584	0	4338518467	3309594451	73964	inputPath79		
job118	585	1	1043013425	528564915	2319	inputPath78		
job119	585	0	4338518467	3164338407	6230	inputPath79		
job120	586	1	119609735763	35628761442	349382637	inputPath83		
job121	586	0	119609735763	27113331186	320711996	inputPath82		
job122	587	1	119609735763	7079440339	52709848	inputPath82		
job123	588	1	119609735763	16510767214	128263648	inputPath82		
job124	597	9	125501095064	0	1164433	inputPath84		
job125	603	6	1	49	0	inputPath21		
job126	603	0	34340891	0	57371	inputPath85		
job127	608	5	461278	505613	150383	inputPath86		
job128	618	10	18261	0	32893	inputPath87		
job129	626	8	4233153	37	244	inputPath23		
job130	632	6	16116419	329534	140469	inputPath88		
job131	639	7	222810441	4227	220224827	inputPath89		
job132	648	9	858524918	2024593874	495940459	inputPath90		
job133	660	12	135	0	1128134	inputPath91		
job134	668	8	20900	3399	441	inputPath92		
job135	675	7	150574	0	2526843	inputPath93		
job136	680	5	1038304210	463	815	inputPath94		
job137	682	2	2550028652240	361765176315	165494610510	inputPath95		
job138	684	2	1128134	0	1110224	inputPath96		
job139	692	8	140660	0	1773663	inputPath97		
job140	700	8	1	49	0	inputPath21		
job141	701	1	28947009378	7029	247	inputPath13		
job142	708	7	31609111287	31659359963	22614	inputPath98		
job143	721	13	2539382950	372591730	76776479	inputPath99		
job144	721	0	2539382950	43771781	9117480	inputPath98		
job145	721	0	2539382950	40984512	7717886	inputPath98		
job146	721	0	2539382950	60848317	13153802	inputPath98		
job147	722	1	2539382950	27613904	5400463	inputPath98		
job148	723	1	2539382950	56260107	10857465	inputPath98		
job149	731	8	252213714	294510455	1484214	inputPath100		
job150	745	14	6569776961	0	252748	inputPath47		
job151	753	8	59706632778	0	12101813966	inputPath101		
job152	815	62	119609735763	109397814785	4338753829	inputPath82		
job153	817	2	119609735763	28261240022	252500733	inputPath82		
job154	817	0	119609735763	38570728787	612054024	inputPath82		
job155	817	0	119609735763	16989151733	133864935	inputPath82		
job156	820	3	135	0	56188238	inputPath102		
job157	822	2	5481561952	7391751594	144967	inputPath103		
