job0	23	23	410483	0	2513586060
job1	126	103	51616	0	2671606188
job2	135	9	1048668636	0	149442587
job3	154	19	10240	0	120268108
job4	171	17	24812136	0	6566944
job5	183	12	76	0	408338034
job6	184	1	109	0	42293876
job7	184	0	94	0	753565843
job8	186	2	208	0	2962030987
job9	187	1	3618812086	4520278568	1175451386
job10	189	2	4909	0	41500937
job11	192	3	11375250496	11662951852	3081449939
job12	202	10	2396169152	0	276235472
job13	205	3	38995926284	0	50800
job14	222	17	50688	0	44055042
job15	274	52	3864	0	112205149
job16	285	11	396	0	5767709893
job17	289	4	2513586060	0	1048291032
job18	327	38	112205149	0	25440579
job19	349	22	255983	435512	72123
job20	357	8	51676	0	2804404725
job21	358	1	4056188154	0	462177055
job22	390	32	208	0	1132004109
job23	405	15	4216	0	126816478
job24	451	46	126816478	0	19410160
job25	476	25	91843954160	295778846	499187
job26	483	7	44055042	44747468	10992855
job27	488	5	79054962132	81716578549	17860385117
job28	519	31	1387059979	0	96698189
job29	527	8	3832	0	475294798
job30	571	44	443610	0	349313066
job31	579	8	475294798	0	114479137
job32	588	9	104	0	584015738
job33	590	2	51686	0	2850332958
job34	636	46	9641459316	0	147262978
job35	656	20	371729	0	9
job36	658	2	104	0	537366208
job37	688	30	51600	0	1212101098
job38	695	7	4024	0	453133178
job39	716	21	566	0	96338310671
job40	722	6	453133178	0	61192005
job41	723	1	487503	364953	38359
job42	758	35	51600	0	832765035
job43	776	18	9	0	1517
job44	787	11	3960	0	64593090
job45	793	6	23465618	24235258	7312737
job46	795	2	3648358955	1970511198	410946882
job47	816	21	64593090	0	10574371
job48	821	5	3648901656	1882876831	436720985
job49	841	20	51600	0	990887530
job50	850	9	14696491	3096	244
job51	879	29	266208	275067	111729
job52	904	25	6591442546	0	391916491
job53	917	13	18586349	166319809	127
job54	950	33	4494	4654	37755
job55	961	11	10240	0	573630421
job56	967	6	51600	0	1598696841
job57	1023	56	0	0	0
job58	1051	28	0	0	0
job59	1061	10	2256465718	0	251792995
job60	1103	42	104	0	1093968941
job61	1132	29	51600	0	1858188384
job62	1155	23	502	0	7692779964
job63	1171	16	349313066	0	98756327
job64	1184	13	216	0	618416797
job65	1233	49	618416797	0	264357732
job66	1272	39	70490	0	5901
job67	1278	6	51600	0	1998893375
job68	1334	56	104	0	1341686134
job69	1340	6	93	0	7
job70	1350	10	7	0	255
job71	1361	11	10240	0	290132635
job72	1379	18	104	0	369429222
job73	1380	1	97	0	43518664
job74	1395	15	105	0	7
job75	1398	3	104	0	85435781
job76	1411	13	51600	0	1652437076
job77	1412	1	7	0	255
job78	1420	8	11660646	0	2528106
job79	1421	1	3869002502	2053104194	406490296
job80	1422	1	5185907	0	858125
job81	1422	0	54118797318	28103911985	1747600400
job82	1423	1	2188251866	0	688844801
job83	1424	1	46084	0	21376
job84	1424	0	51681806	0	13034586
job85	1425	1	104	0	224648291
job86	1427	2	285492255	471298256	64384883
job87	1436	9	104	0	73247067
job88	1448	12	104	0	58420689
job89	1462	14	104	0	102665515
job90	1465	3	108	0	7
job91	1494	29	104	0	51687656
job92	1516	22	10240	0	111120301
job93	1522	6	7	0	255
job94	1559	37	395	0	4673422081
job95	1567	8	8820	6825	2289
job96	1568	1	110	0	6
job97	1572	4	436720845	5734131	508492
job98	1611	39	51600	0	1840272778
job99	1618	7	6	0	254
job100	1631	13	0	0	0
job101	1664	33	10240	0	107920720
job102	1675	11	103	0	7
job103	1683	8	97	0	10263706
job104	1695	12	207	0	2080970504
job105	1698	3	7	0	255
job106	1703	5	508365	2593327	8278
job107	1744	41	112	0	6
job108	1751	7	51686	0	2378755424
job109	1753	2	14696491	3096	244
job110	1764	11	6	0	254
job111	1808	44	114	0	5
job112	1809	1	86	0	2112192516
job113	1817	8	5	0	253
job114	1825	8	8142	34052	8322
job115	1849	24	104	0	1173865325
job116	1877	28	8195	0	5079
